market,zip
Atlanta Core,30349
Cincinnati,45238
Columbus,43228
Detroit,48228
"Indianapolis, IN",46227
Louisville,40214
Memphis,38125
Little Rock,72209
Knoxville Core,37920
Nashville Core,37013
Richmond,23223
"Houston, TX",77449
Dallas/Fort Worth,75070
Nebraska,68022
West Kansas,67212
Denver Core,80249
Phoenix,85032
Portland Core,97229
Puget Sound Experience,98042
Anaheim-Riverside,92336
LA,90011
New Mexico Core,87120
Las Vegas Core,89031
Salt Lake City Core,84120
